component_id,source_count,candidate_count,source_total_minor,candidate_total_minor,allocated_total_minor,remaining_minor,currency,allocation_valid,duplicate_detected,control_status
COMP-96,2,1,7766805,3829980,7766805,3936825,INR,True,False,PASS
COMP-97,2,1,31868912,15715251,31868912,16153661,INR,True,False,PASS
COMP-98,2,1,10472087,5164013,10472087,5308074,INR,True,False,PASS
COMP-99,2,1,6172943,3044012,6172943,3128931,INR,True,False,PASS
COMP-100,2,1,31861568,15711629,31861568,16149939,INR,True,False,PASS
COMP-101,2,1,38982526,19223128,38982526,19759398,INR,True,False,PASS
COMP-102,2,1,16642827,8206939,16642827,8435888,INR,True,False,PASS
COMP-103,2,1,21014232,10362573,21014232,10651659,INR,True,False,PASS
COMP-104,2,1,35198535,17357160,35198535,17841375,INR,True,False,PASS
COMP-105,2,1,27554774,13587856,27554774,13966918,INR,True,False,PASS
COMP-106,2,1,29316653,14456677,29316653,14859976,INR,True,False,PASS
COMP-107,1,1,17748553,17748553,17748553,0,INR,True,False,PASS
COMP-108,2,1,12664410,6245095,12664410,6419315,INR,True,False,PASS
COMP-109,2,1,33704837,16620585,33704837,17084252,INR,True,False,PASS
COMP-110,2,1,2169544,1069849,2169544,1099695,INR,True,False,PASS
